Make,Model,VehicleClass,EngineSize,Cylinders,FuelConsumptionCity,CO2Emissions
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,10.4,209
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,11.5,237
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,11.5,237
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,16.3,314
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,18.8,356
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,17.4,332
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,20,380
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,20,380
BENTLEY,FLYING SPUR,MID-SIZE,6,12,20.3,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,22.3,437
BMW,320i,COMPACT,2,4,10,193
BMW,320i,COMPACT,2,4,10.4,200
BMW,320i xDRIVE,COMPACT,2,4,10.2,202
BMW,328d xDRIVE,COMPACT,2,4,7.6,181
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,7.6,181
BMW,328i,COMPACT,2,4,10,193
BMW,328i,COMPACT,2,4,10.4,200
BMW,328i xDRIVE,COMPACT,2,4,10.6,209
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,10.6,209
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,10.6,209
BMW,335i,COMPACT,3,6,11.4,221
BMW,335i,COMPACT,3,6,11.8,230
BMW,335i xDRIVE,COMPACT,3,6,11.7,228
BMW,335i xDRIVE,COMPACT,3,6,11.9,237
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,11.9,232
BMW,428i COUPE,COMPACT,2,4,10,193
BMW,428i COUPE,COMPACT,2,4,10.4,200
BMW,428i xDRIVE COUPE,COMPACT,2,4,10.6,209
BMW,435i COUPE,COMPACT,3,6,11.4,221
BMW,435i COUPE,COMPACT,3,6,11.8,230
BMW,435i xDRIVE COUPE,COMPACT,3,6,11.7,228
BMW,435i xDRIVE COUPE,COMPACT,3,6,11.9,237
BMW,528i,MID-SIZE,2,4,10.2,202
BMW,528i xDRIVE,MID-SIZE,2,4,10.6,209
BMW,535d xDRIVE,MID-SIZE,3,6,9.2,213
BMW,535i xDRIVE,MID-SIZE,3,6,11.9,232
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,12.5,246
BMW,550i xDRIVE,MID-SIZE,4.4,8,14.4,281
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,15,292
BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,11.9,232
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,15,292
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,14.4,281
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,15,292
BMW,740Li xDRIVE,FULL-SIZE,3,6,12.5,246
BMW,750i xDRIVE,FULL-SIZE,4.4,8,15,292
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,15,292
BMW,760Li,FULL-SIZE,6,12,18.7,356
BMW,ACTIVEHYBRID 3,COMPACT,3,6,9.2,191
BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,10.5,214
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,10.5,212
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,15,292
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,15,292
BMW,M5,MID-SIZE,4.4,8,17.3,338
BMW,M5,MID-SIZE,4.4,8,16.2,317
BMW,M6,COMPACT,4.4,8,17.3,338
BMW,M6,COMPACT,4.4,8,16.2,317
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,17.3,338
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,16.2,317
BMW,M6 GRAN COUPE,COMPACT,4.4,8,17.3,338
BMW,M6 GRAN COUPE,COMPACT,4.4,8,16.2,317
BMW,X1 xDRIVE28i,SUV - SMALL,2,4,10.6,209
BMW,X1 xDRIVE35i,SUV - SMALL,3,6,13.2,260
BMW,X3 xDRIVE28i,SUV - SMALL,2,4,11.2,230
BMW,X3 xDRIVE35i,SUV - SMALL,3,6,12.6,253
BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,12.9,255
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,16.3,320
BMW,X6 M,SUV - STANDARD,4.4,8,18.1,370
BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,13.6,274
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,16.4,324
BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,10.8,209
BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,10.4,200
BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,13.7,278
BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,12.7,253
BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,13.7,278
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,14.3,283
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,14.6,290
BUICK,ENCORE,SUV - SMALL,1.4,4,9.5,196
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,10.2,212
BUICK,LACROSSE,MID-SIZE,3.6,6,13.7,264
BUICK,LACROSSE,MID-SIZE,3.6,6,18.4,250
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,13.7,264
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,19.4,264
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,9.6,189
BUICK,REGAL,MID-SIZE,2,4,11.5,228
BUICK,REGAL,MID-SIZE,2,4,11.6,225
BUICK,REGAL AWD,MID-SIZE,2,4,12.3,246
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,9.6,189
BUICK,VERANO,COMPACT,2,4,11.5,228
BUICK,VERANO,COMPACT,2,4,11.6,225
BUICK,VERANO,COMPACT,2.4,4,11.3,218
CADILLAC,ATS,COMPACT,2,4,11.3,221
CADILLAC,ATS,COMPACT,2,4,12.1,235
CADILLAC,ATS,COMPACT,2.5,4,10.5,207
CADILLAC,ATS,COMPACT,3.6,6,12.8,251
CADILLAC,ATS AWD,COMPACT,2,4,11.8,232
CADILLAC,ATS AWD,COMPACT,3.6,6,13.1,260
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,13.2,258
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,13.3,262
CADILLAC,CTS SEDAN,MID-SIZE,2,4,11.9,232
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,12.9,248
CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,12.6,248
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,13.1,260
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,15.1,294
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,12.7,253
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,13.3,260
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,12.8,255
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,13.3,262
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,19.7,382
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,16.7,340
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,19.7,382
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,16.7,340
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,19.7,382
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,16.7,340
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,17,338
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,23.3,322
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,18.8,377
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,25.7,354
CADILLAC,SRX,SUV - STANDARD,3.6,6,14.3,283
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,14.8,294
CADILLAC,XTS,FULL-SIZE,3.6,6,13.6,262
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,14,271
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,14.8,290
CHEVROLET,CAMARO,COMPACT,3.6,6,13.2,258
CHEVROLET,CAMARO,COMPACT,3.6,6,14.2,269
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,12.7,242
CHEVROLET,CAMARO SS,COMPACT,6.2,8,15.3,294
CHEVROLET,CAMARO SS,COMPACT,6.2,8,15,292
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,19.7,382
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,16.7,340
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,14.9,276
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,13.7,258
CHEVROLET,CRUZE,MID-SIZE,1.4,4,9.1,179
CHEVROLET,CRUZE,MID-SIZE,1.4,4,9.1,179
CHEVROLET,CRUZE,MID-SIZE,1.8,4,10.5,202
CHEVROLET,CRUZE,MID-SIZE,1.8,4,9.5,189
CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,8.7,192
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,9.1,177
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,8.4,163
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,10.5,209
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,13.9,276
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,18.8,259
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,11.5,230
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,14.8,290
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,19.8,272
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,17.1,347
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,18,366
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,23.5,334
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,18.3,380
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,23.7,344
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,18.6,380
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,23.9,344
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,18.3,380
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,25.3,362
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,18.6,380
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,23.9,344
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,18.3,380
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,25.3,362
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,21.1,414
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,21.9,432
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,30,411
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,21.3,419
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,22.1,435
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,30.2,413
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,11.3,221
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,12.6,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,16.7,229
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,10,200
CHEVROLET,MALIBU,MID-SIZE,2,4,11.5,228
CHEVROLET,MALIBU,MID-SIZE,2.5,4,9.3,184
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,12.2,244
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,11.8,235
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,13.4,271
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,18.9,269
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,14.6,292
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,19.5,270
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,16.3,324
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,14.2,290
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,20,285
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,14.9,299
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,19.9,277
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,16.4,329
CHEVROLET,SONIC,COMPACT,1.4,4,9.1,184
CHEVROLET,SONIC,COMPACT,1.4,4,8.5,173
CHEVROLET,SONIC,COMPACT,1.8,4,9.6,191
CHEVROLET,SONIC,COMPACT,1.8,4,8.9,182
CHEVROLET,SONIC RS,COMPACT,1.4,4,9.4,191
CHEVROLET,SONIC RS,COMPACT,1.4,4,8.8,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,9.1,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,8.5,172
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,9.6,191
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,8.9,182
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,9.4,191
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,8.8,184
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,7.7,159
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,7.6,159
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,16,317
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,21.5,294
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,16,317
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,21.5,294
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,16,317
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,21.5,294
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,16,317
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,21.5,294
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,14.3,283
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,14.6,290
CHEVROLET,TRAX,SUV - SMALL,1.4,4,9.4,193
CHEVROLET,TRAX,SUV - SMALL,1.4,4,9.1,186
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,10,207
CHRYSLER,300,FULL-SIZE,3.6,6,12.4,237
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,11.7,232
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,12.9,246
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,12.5,242
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,17,230
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,11.2,225
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,12,230
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,12.5,242
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,17,230
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,15.8,294
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,12.8,251
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,16.1,308
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,12.8,251
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,17.3,237
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,12.4,237
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,16.8,222
CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,16.7,317
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,14.1,276
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,19.7,269
DODGE,AVENGER,MID-SIZE,2.4,4,11.2,225
DODGE,AVENGER,MID-SIZE,2.4,4,12,230
DODGE,AVENGER FFV,MID-SIZE,3.6,6,12.5,242
DODGE,AVENGER FFV,MID-SIZE,3.6,6,17,230
DODGE,CHALLENGER,MID-SIZE,3.6,6,13.2,258
DODGE,CHALLENGER,MID-SIZE,5.7,8,15.6,301
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,15.8,294
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,16.8,320
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,16.7,317
DODGE,CHARGER,FULL-SIZE,3.6,6,13.2,258
DODGE,CHARGER,FULL-SIZE,3.6,6,12.4,237
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,15.8,294
DODGE,CHARGER AWD,FULL-SIZE,3.6,6,12.8,251
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,16.1,308
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,12.8,251
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,17.3,237
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,13.2,258
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,18.3,251
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,12.3,235
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,16.8,222
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,16.7,317
DODGE,DART,MID-SIZE,2,4,9.4,186
DODGE,DART,MID-SIZE,2.4,4,10.1,198
DODGE,DART,MID-SIZE,2.4,4,10.5,202
DODGE,DART FFV,MID-SIZE,2,4,9.9,198
DODGE,DART FFV,MID-SIZE,2,4,14.2,195
DODGE,DART GT,MID-SIZE,2.4,4,10.6,212
DODGE,DART GT,MID-SIZE,2.4,4,10.2,202
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,8.4,168
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,8.5,168
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,17.3,331
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,13.9,278
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,17.7,250
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,13.7,271
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,19.2,264
DODGE,JOURNEY,SUV - SMALL,2.4,4,12.7,255
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,14.5,285
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,14.2,276
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,18.9,259
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,8.5,179
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,8.5,179
FIAT,500 CABRIO,MINICOMPACT,1.4,4,8.7,182
FIAT,500 CABRIO,MINICOMPACT,1.4,4,7.9,166
FIAT,500 CABRIO TURBO,MINICOMPACT,1.4,4,8.5,179
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,8.7,182
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,7.6,156
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,8.5,179
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,10,200
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,9.3,193
FORD,C-MAX HYBRID,FULL-SIZE,2,4,5.6,138
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,17.7,373
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,24.1,350
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,19.3,396
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,24.9,360
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,18.6,386
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,25.5,368
FORD,E350 WAGON,VAN - PASSENGER,6.8,10,23.9,488
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,20.6,421
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,26.7,382
FORD,EDGE,SUV - SMALL,2,4,11.3,225
FORD,EDGE,SUV - SMALL,3.5,6,12.6,248
FORD,EDGE AWD,SUV - SMALL,3.5,6,13.3,264
FORD,EDGE AWD,SUV - SMALL,3.7,6,13.7,281
FORD,ESCAPE,SUV - SMALL,1.6,4,10.4,209
FORD,ESCAPE,SUV - SMALL,2,4,10.9,221
FORD,ESCAPE,SUV - SMALL,2.5,4,10.9,216
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,10.5,214
FORD,ESCAPE AWD,SUV - SMALL,2,4,11.2,230
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,18.2,368
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,24.5,346
FORD,EXPLORER,SUV - STANDARD,2,4,11.8,235
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,14.8,299
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,13.7,274
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,18.3,254
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,14.3,288
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,18.9,267
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,14.5,292
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,14.6,294
FORD,F-150,PICKUP TRUCK - STANDARD,6.2,8,18.3,366
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,15.9,317
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,15.4,308
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,6.2,8,20.1,402
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,14,283
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,18.8,264
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,14,283
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,18.8,264
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,16.4,336
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,22.1,315
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,16.4,336
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,22.1,315
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,15,308
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,20.2,288
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,15,308
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,20.2,288
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,16.8,343
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,22.4,320
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,16.7,340
